signal,param,value,arch,seed,N_sens,mean_amp_corr,mean_freq_corr,mean_plv,mean_phase_deg,rmse_o1_g,rmse_ref_o1,rmse_ref_g,conv_threshold_time_s,conv_settle_time_s,conv_reached_threshold,steady_err_o1_g,sim_time_s,sim_python_peak_mem_mb,sim_rss_peak_delta_mb,train_time_s
oscillator,eta,1e-05,PC-EC,0,20,-0.049702405544074374,-0.6007392553629909,0.9895471236951682,73.05520205980753,0.6729944800845276,0.19664340226687707,0.7144314382150857,,0.02,False,0.9361519798382473,5.24248567199902,17.771947860717773,47.55859375,0.9347169290012971
oscillator,eta,1e-05,PC-SC,0,20,-0.05880758051059791,-0.575504503208574,0.9889227454451733,74.6838726023198,0.6793475238361625,0.19664340226687707,0.7144497462137043,,0.019,False,0.9469074601967088,6.454820208000456,26.105647087097168,40.4453125,0.9347169290012971
oscillator,eta,1e-05,PC-EC,1,20,0.5257918944287323,0.2174364730259237,0.9957953457127497,73.81709190778724,0.5548229859871712,0.8988952223651023,0.7993883391906154,,6.126,False,0.7678183818801615,4.74992338499942,17.16064167022705,4.2890625,0.8988812490024429
oscillator,eta,1e-05,PC-SC,1,20,0.7738752688368415,0.4584279053271014,0.998453242993617,75.80298687800115,0.5596160095012308,0.8988952223651023,0.8196998778054246,,6.056,False,0.7788021322509794,7.288120755998534,25.9017915725708,12.234375,0.8988812490024429
oscillator,eta,1e-05,PC-EC,2,20,0.04101742978820248,-0.2567522464178818,0.9924738978509626,77.69646379048474,0.6855623435409016,0.4657673143341868,0.7792138238544184,,0.018000000000000002,False,0.9595475482335418,4.751296842998272,18.154033660888672,4.91796875,0.9349177250005596
oscillator,eta,1e-05,PC-SC,2,20,0.09183438873463928,-0.2702594685911769,0.9928486125377565,76.43299247478373,0.6825148783489456,0.4657673143341868,0.7929658838450917,,0.018000000000000002,False,0.9557131679019288,7.204197033002856,26.3157320022583,8.9453125,0.9349177250005596
oscillator,eta,1e-05,PC-EC,3,20,0.34599837702315606,-0.1562822366165617,0.9897777817185192,74.97851071961684,0.65288942497039,0.4629445343351785,0.7526696224642756,,0.024,False,0.9104673550535882,5.663788218000263,16.922849655151367,2.453125,0.9194178949983325
oscillator,eta,1e-05,PC-SC,3,20,0.41911830200619016,-0.20964441651268548,0.9914294492139253,74.83364551170959,0.6510955430090631,0.4629445343351785,0.7654722525971327,,0.024,False,0.9082808437460639,6.765000871000666,26.286191940307617,7.7109375,0.9194178949983325
oscillator,eta,1e-05,PC-EC,4,20,0.26791656623363563,0.2635677449146406,0.9957352116896593,76.79973866463138,0.6578352435962288,0.8587204431591191,0.6372315507480146,,0.023,False,0.9177662337447141,5.385659760002454,16.703042030334473,2.17578125,0.9538458479983092
oscillator,eta,1e-05,PC-SC,4,20,0.3754788839142506,0.32759334817438945,0.9970342444689242,79.09176218055973,0.662718629128372,0.8587204431591191,0.6381150165623135,,0.021,False,0.9272466410274188,6.713914111998747,25.229402542114258,7.19140625,0.9538458479983092
